place_type,attribute_key,source_content_type_id,source_field,weighted_fill_rate,status,measured_fill_rate,measured_scope,measured_note
TOURIST_SPOT,PARKING_CONVENIENCE,12+14,parking+parkingculture,75,FREE_TEXT,93.0,"관광지(12) 부울경 200건 층화표본, seed 20260820","parking 186/200. 기록 75%는 12+14 가중 추정이었다 / [다섯 범위 5번(기존 데이터 계산·추출) 시도] 주차장 표준데이터 부울경 2,494건(좌표 유효) 좌표로 TourAPI 부울경 장소 6,757건의 반경별 공영주차장 존재율을 계산했다. 직선거리 기준, OSRM 도보거리 미측정. TourAPI 관광지(12) 1,918건 기준 100m 7.7% / 300m 23.8% / 500m 32.3%, 중앙거리 1,186m. **이 값을 PARKING_CONVENIENCE에 넣지 않았다.** ""근처에 공영주차장이 있다""와 ""이 장소에 주차장이 있다""는 다른 사실이고, 장소 자체 주차장은 이 데이터에 없다. 반경 기준값도 판단이라 Attribute 층 규칙이 필요하다. 별도 키로 분리할지 보조 원천으로 쓸지는 미정 — P6 추천 확장에서 판단한다. / [다섯 범위 1번(공개데이터 검색)] 전국관광지정보표준데이터 부울경 208건 전량 실측(2026-08-23). 주차가능수는 자유텍스트가 아니라 **숫자**이고 값>0이 87.0%(181/208), 고유값 89개로 분포가 넓어 5단계 허용 어휘를 텍스트 파싱 없이 만들 수 있다. TourAPI 상세 parking과 방향 일치 7/7(값 크기는 불일치 — 작원관지 표준 50 vs TourAPI 120). **그러나 TourAPI 관광지(12) 부울경 1,891건 대비 이름정확+좌표500m 연결이 68건(3.6%)뿐이라 모집단을 덮지 못한다.** 보조 원천 후보로만 유효하며 status는 FREE_TEXT 유지."
TOURIST_SPOT,NOISE_LEVEL,,,0,SOURCE_SEARCH_PENDING,,,"[GO-33 판정: MVP 제외] GO-33: 소음 수준을 주는 공공/전문 원천을 GO-125 세션 전체(§18~§31)에서 찾지 못했다. 규칙 추정 근거도 없다(subtype만으로 소음 여부 추정 불가). MVP 범위 제외, 필요 시 사용자 입력으로 보완 | 기존 기록: 다섯 탐색 범위 미완(GO-125). 특정 원천의 부재를 NO_SOURCE로 쓰지 않는다"
TOURIST_SPOT,CROWD_LEVEL,,수용인원수,0,SOURCE_SEARCH_PENDING,97.6,"전국관광지정보표준데이터 부울경 208건 전량, 2026-08-23","전국관광지정보표준데이터 수용인원수 값>0 97.6%(203/208)이나 **단위가 원천 안에서 혼재해 부적합**. 을숙도 생태공원 4,500,000 · 해운대해수욕장 800,000은 동시 수용 인원이 아니라 연간 방문객 규모이고, 창녕 만년교 100은 동시 수용이다. 지자체가 같은 컬럼에 다른 단위를 넣었다. 산림청 소요시간(집계 단위 불일치)과 같은 유형이다. 이 원천의 부적합은 다른 원천 탐색을 끝냈다는 뜻이 아니라 계속 SOURCE_SEARCH_PENDING이다 / 다섯 탐색 범위 미완(GO-125)"
TOURIST_SPOT,PRICE_LEVEL,14,usefee,13,SOURCE_SEARCH_PENDING,0.0,"관광지(12) 부울경 200건 층화표본, seed 20260820","[GO-33 판정: MVP 제외(TOURIST_SPOT만 부분 예외)] GO-33: 대부분 PlaceType에 가격대 원천이 없다. TOURIST_SPOT은 부산명소정보(USAGE_AMOUNT 67.1%, GO-125 §29)가 부산 한정으로 존재하나 전체 base로 쓰기엔 지역·모집단이 작아 채택 아님. MVP 범위 제외, 부산명소정보는 정보 보강 후보로 other-source-survey.md에 별도 기록됨 | 기존 기록: usefee 필드가 응답에 없음. 문화시설(14)은 미측정 / 다섯 탐색 범위 미완(GO-125). 특정 원천의 부재를 NO_SOURCE로 쓰지 않는다 | [GO-73 추가 실측, 2026-08-25] 문화시설(14) 부울경 348건 전량 수집 결과 usefee 채움률 91.3%(상세존재 344건 기준)로 확인됨 — 관광지(12)와 달리 문화시설은 필드가 실제로 존재한다. 다만 문화시설은 TOURIST_SPOT 전체 모집단(관광지1920+문화시설348+축제134=2,402)의 14.5%뿐이라 TOURIST_SPOT 전체 판정(MVP 제외)은 유지하되, 문화시설 서브타입 한정 정보 보강 후보로는 재검토 가치가 있다는 점을 기록한다. P2-A에서 문화시설 서브타입을 분리 판정할 때 참고."
TOURIST_SPOT,BUSINESS_HOURS,12+14+15,usetime+usetimeculture+usetimefestival,97,FREE_TEXT,96.5,"관광지(12) 부울경 200건 층화표본, seed 20260820",usetime 193/200. 기록 97%와 일치
TOURIST_SPOT,VISIT_DURATION,14,spendtime,2,SOURCE_SEARCH_PENDING,0.0,"관광지(12) 부울경 200건 층화표본, seed 20260820 / 산림청 등산로 부울경 448개 산 전량","[GO-33 판정: MVP 제외] GO-33: 산림청 등산로 소요시간 필드가 유일한 후보였으나 산 단위 합계가 방문 소요가 아니라 등산로 총연장 기준으로 확인돼(GO-125) 부적합 판정됨. 대안 원천 없음. MVP 범위 제외 | 기존 기록: spendtime 필드가 응답에 없음. 문화시설(14)은 미측정 / 산림청 등산로는 PMNTN_UPPL+GODN 구간 채움률 100%이나 산 단위 합계가 방문 소요가 아니라 등산로 총연장 기준이다(금정산 338구간 210km 6,785분). 이 용도로 부적합. 코스 단위 집계는 등산로명 채움률 52.5%라 불가 / 다섯 탐색 범위 미완(GO-125). 이 원천의 부적합은 다른 원천 탐색을 끝냈다는 뜻이 아니라 계속 SOURCE_SEARCH_PENDING이다."
TOURIST_SPOT,ENTRANCE_FEE_LEVEL,14,usefee,13,SOURCE_SEARCH_PENDING,0.0,"관광지(12) 부울경 200건 층화표본, seed 20260820","[GO-33 판정: MVP 제외] GO-33: PRICE_LEVEL과 동일 사유. TOURIST_SPOT은 부산명소정보 USAGE_AMOUNT가 유일한 단서이나 부산 한정이라 base 채택 아님. MVP 범위 제외 | 기존 기록: usefee 필드가 응답에 없음. 문화시설(14)은 미측정 / 다섯 탐색 범위 미완(GO-125). 특정 원천의 부재를 NO_SOURCE로 쓰지 않는다 | [GO-73 추가 실측, 2026-08-25] 문화시설(14) 부울경 348건 전량 수집 결과 usefee 채움률 91.3%(상세존재 344건 기준)로 확인됨 — 관광지(12)와 달리 문화시설은 필드가 실제로 존재한다. 다만 문화시설은 TOURIST_SPOT 전체 모집단(관광지1920+문화시설348+축제134=2,402)의 14.5%뿐이라 TOURIST_SPOT 전체 판정(MVP 제외)은 유지하되, 문화시설 서브타입 한정 정보 보강 후보로는 재검토 가치가 있다는 점을 기록한다. P2-A에서 문화시설 서브타입을 분리 판정할 때 참고."
TOURIST_SPOT,PHOTO_SPOT,,,0,SOURCE_SEARCH_PENDING,,,다섯 탐색 범위 미완(GO-125). 특정 원천의 부재를 NO_SOURCE로 쓰지 않는다
TOURIST_SPOT,WALKING_INTENSITY,FOREST_TRAIL,PMNTN_DFFL,0,SOURCE_SEARCH_PENDING,99.8,"산림청 등산로 부울경 448개 산 전량, 구간 13,624건. 기준일 2016-12-31. 장소 연결은 이름+시군구 기준만 측정, 좌표 매칭 미측정","[GO-33 판정: MVP 제외(접근 제약)] GO-33: 산림청 등산로 난이도 필드가 명세상 존재하나, forest.go.kr이 산 단위 개별 조회 UI라 대량 수집이 불가능함을 확인(GO-125 §27). 448개 부울경 산 개별 수집은 P1 범위를 벗어나는 비용이라 보류. MVP 범위 제외 | 기존 기록: 구간 채움률 99.78%, 값 어휘 쉬움/중간/어려움. 산 단위 집계 규칙에 따라 결과가 갈린다 — 최빈값은 98.0%가 쉬움이라 변별력 없고 최대값은 쉬움 69.9/중간 26.8/어려움 2.0. 집계 규칙 미정. 장소 연결은 TourAPI 관광지+레포츠 부울경 2,387건 대비 이름 정확 일치 8.3% / 부분 포함 12.5% / 미매칭 69.9%. 산이 행정구역에 걸쳐 시군구가 갈리고(가지산=울주군/밀양시) 동명이산도 있어 이름 매칭은 양방향으로 틀린다. 좌표 매칭을 하면 달라질 수 있으나 미측정. **서비스 우선순위가 낮아 GO-125에서 보류** — 채택도 제외도 아니다. 이 원천의 부적합은 다른 원천 탐색을 끝냈다는 뜻이 아니라 계속 SOURCE_SEARCH_PENDING이다."
TOURIST_SPOT,INDOOR_OUTDOOR,,,0,SOURCE_SEARCH_PENDING,,,"[GO-33 판정: 규칙 추정 후보] GO-33: 직접 관측 원천은 없으나 PlaceSubtypeCode로 실내/실외 유추가 가능할 수 있다(예: MUSEUM=실내, PARK=실외). 규칙 설계·검증은 P2-A/P2-E 범위. 이 이슈에서는 ""규칙 추정 가능"" 판정만 내리고 실제 규칙은 만들지 않음 | 기존 기록: 다섯 탐색 범위 미완(GO-125). 특정 원천의 부재를 NO_SOURCE로 쓰지 않는다"
